               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,             0.03219,            0.023772,                   0,             0.75076,             0.72109,             0.76807,             0.44092,            0.038405,            0.019298,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.031174,             0.02458,                   0,             0.75039,             0.69236,              0.7583,             0.44525,            0.038859,              0.0198,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.031196,            0.024124,                   0,             0.79113,             0.68182,             0.77012,             0.45133,            0.038681,            0.019646,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.031304,            0.023668,                   0,              0.7974,             0.65599,             0.74572,             0.43726,            0.038955,            0.019491,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.031854,            0.025467,                   0,             0.78222,             0.64545,             0.73874,             0.43745,            0.038037,            0.019541,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.030632,            0.023101,                   0,             0.71727,             0.68182,             0.73405,             0.42521,            0.038764,            0.020104,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.029685,             0.02378,                   0,             0.77497,             0.66061,             0.74428,             0.43827,            0.038344,            0.019928,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.030574,             0.02372,                   0,             0.79345,             0.63333,             0.75239,             0.43977,            0.037903,            0.020013,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.029526,            0.023092,                   0,             0.80131,             0.64848,             0.76383,             0.44719,            0.038048,            0.019804,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.030248,            0.023555,                   0,             0.73524,             0.70303,             0.76181,             0.44911,            0.037862,            0.019512,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.030362,            0.024417,                   0,              0.7832,             0.64587,              0.7534,             0.44075,            0.038072,            0.019499,                   0,            0.000496,            0.000496,            0.000496
