               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.050147,            0.018341,           0.0015222,             0.47084,             0.78834,              0.6576,              0.2361,            0.059614,            0.014156,           0.0022034,            0.006535,            0.006535,            0.006535
                  37,            0.052204,            0.016042,            0.001616,             0.27215,             0.85043,             0.50339,             0.20931,            0.055004,            0.012633,           0.0024511,            0.006436,            0.006436,            0.006436
                  38,            0.055368,            0.016177,           0.0021338,              0.4608,             0.64703,              0.5873,             0.18146,            0.058746,            0.012816,           0.0023845,            0.006337,            0.006337,            0.006337
                  39,             0.05336,            0.018582,           0.0017522,             0.48273,             0.69024,             0.68878,              0.2451,            0.049096,            0.013182,           0.0028336,            0.006238,            0.006238,            0.006238
                  40,             0.04967,            0.016752,           0.0018908,             0.35358,             0.58974,             0.57666,             0.23626,            0.051579,            0.013105,           0.0025688,            0.006139,            0.006139,            0.006139
                  41,            0.046603,            0.015357,           0.0017731,             0.57819,             0.71368,             0.70373,             0.30005,            0.049012,            0.012811,           0.0027134,             0.00604,             0.00604,             0.00604
                  42,            0.048858,             0.01711,           0.0024849,             0.51244,             0.77974,             0.65091,             0.25918,             0.04814,            0.013043,           0.0030973,            0.005941,            0.005941,            0.005941
                  43,            0.044918,            0.016109,           0.0017939,             0.54915,             0.76491,             0.60641,             0.20981,            0.048248,             0.01298,           0.0032131,            0.005842,            0.005842,            0.005842
                  44,            0.047019,            0.013908,           0.0016666,             0.46237,             0.65812,             0.56812,             0.29737,            0.046901,            0.012816,           0.0029011,            0.005743,            0.005743,            0.005743
                  45,            0.041043,             0.01629,           0.0015256,             0.45453,             0.76923,             0.63507,              0.2957,             0.04298,             0.01216,           0.0023754,            0.005644,            0.005644,            0.005644
                  46,            0.047318,            0.016641,           0.0015592,              0.8077,             0.71973,              0.7987,             0.24658,            0.052374,            0.012176,           0.0023958,            0.005545,            0.005545,            0.005545
                  47,            0.046739,            0.014416,           0.0019247,             0.51543,             0.68803,             0.65615,             0.27246,            0.046149,            0.012086,           0.0029918,            0.005446,            0.005446,            0.005446
                  48,             0.04625,            0.015949,           0.0018126,             0.64884,             0.65238,             0.68037,             0.35081,            0.041317,            0.013004,           0.0034709,            0.005347,            0.005347,            0.005347
                  49,             0.04242,            0.017481,           0.0016638,             0.67356,             0.73775,             0.71199,             0.29889,            0.041918,            0.012228,           0.0027605,            0.005248,            0.005248,            0.005248
                  50,            0.041884,            0.017083,           0.0015756,             0.71965,             0.72459,             0.73711,              0.3971,            0.040157,            0.012135,           0.0022187,            0.005149,            0.005149,            0.005149
                  51,             0.03668,            0.014697,           0.0013527,             0.74747,             0.82096,             0.88418,              0.4332,            0.041178,            0.011644,           0.0019011,             0.00505,             0.00505,             0.00505
                  52,            0.040739,            0.015749,           0.0012914,             0.81527,             0.68803,              0.8207,             0.42491,            0.038963,             0.01238,           0.0023986,            0.004951,            0.004951,            0.004951
                  53,            0.040211,            0.013132,           0.0013872,             0.66754,             0.73077,             0.75793,             0.33832,            0.045331,            0.012971,           0.0026533,            0.004852,            0.004852,            0.004852
                  54,            0.042625,            0.013958,           0.0016278,              0.7466,             0.70513,             0.73595,             0.32166,            0.050443,            0.012603,           0.0025135,            0.004753,            0.004753,            0.004753
                  55,            0.040733,            0.014248,           0.0013988,             0.84945,             0.77108,             0.86004,             0.36945,            0.040481,            0.012321,           0.0023611,            0.004654,            0.004654,            0.004654
                  56,            0.038871,            0.015125,           0.0011744,             0.58971,             0.79354,             0.71863,             0.34123,            0.042143,             0.01194,           0.0024189,            0.004555,            0.004555,            0.004555
                  57,            0.035941,            0.015945,            0.001257,             0.86951,             0.80607,             0.86836,             0.33738,            0.043573,            0.011981,           0.0025671,            0.004456,            0.004456,            0.004456
                  58,            0.042124,            0.015399,           0.0011143,             0.68075,             0.77594,             0.77689,              0.3179,            0.042475,            0.011294,           0.0022866,            0.004357,            0.004357,            0.004357
                  59,            0.037714,            0.013901,            0.001369,              0.6885,             0.81197,             0.81948,             0.37711,            0.040514,            0.011154,           0.0025633,            0.004258,            0.004258,            0.004258
                  60,            0.038365,            0.013782,           0.0014897,             0.70741,             0.78939,             0.84146,             0.43189,            0.036908,             0.01117,           0.0026722,            0.004159,            0.004159,            0.004159
                  61,            0.032704,            0.013886,           0.0014768,             0.81155,             0.70085,             0.81205,               0.418,            0.036172,            0.010964,           0.0027471,             0.00406,             0.00406,             0.00406
                  62,            0.038165,            0.014247,           0.0015369,             0.91597,             0.74826,              0.8669,             0.43123,            0.038786,            0.011158,           0.0029269,            0.003961,            0.003961,            0.003961
